FIPStxt,PCTPOVALL_2013,POP_ESTIMATE_2013,Unemployment_rate_2013,bachelor_or_higher_2013
00000,15.8,"316,497,531",,28.8
01000,18.9,"4,833,996",7.2,22.6
01001,13.5,"55,136",6.3,20.9
01003,14.2,"195,443",6.7,27.7
01005,28.2,"26,978",10.4,13.4
01007,23.1,"22,504",7.8,12.1
01009,17.2,"57,720",6.3,12.1
01011,35.2,"10,605",9.6,12.5
01013,28.8,"20,289",10.4,14.0
01015,21.4,"116,547",8.6,16.1
01017,22.5,"34,175",8.0,11.8
01019,20.1,"26,115",6.6,12.8
01021,20.3,"43,836",6.6,12.9
01023,22.4,"13,397",9.2,11.8
01025,25.4,"25,166",14.0,11.2
01027,19.6,"13,506",8.4,9.2
01029,18.9,"15,017",7.7,9.0
01031,18.5,"50,861",7.0,22.5
01033,16.3,"54,499",8.1,17.7
01035,30.5,"12,898",10.9,8.8
01037,19.9,"11,065",9.0,9.8
01039,19.2,"37,850",8.1,14.2
01041,22.2,"13,960",7.5,12.7
01043,16.4,"80,783",6.6,14.8
01045,20.1,"49,845",7.5,17.0
01047,31.3,"42,102",12.4,14.2
01049,20.0,"70,894",7.6,10.7
01051,13.4,"80,808",6.2,21.0
01053,27.8,"37,893",8.6,11.7
01055,19.6,"103,962",7.5,14.8
01057,20.7,"16,909",8.3,13.2
01059,23.1,"31,542",8.1,11.0
01061,23.6,"26,742",7.0,10.4
01063,35.0,"8,718",13.0,12.8
01065,25.7,"15,311",11.7,12.8
01067,18.2,"17,224",7.7,16.6
01069,18.1,"103,626",7.0,19.7
01071,16.9,"52,944",7.7,13.0
01073,18.9,"659,197",6.7,30.0
01075,23.0,"14,203",7.1,9.5
01077,17.1,"92,774",7.1,21.1
01079,17.4,"33,571",8.3,11.9
01081,19.8,"151,708",6.0,32.5
01083,15.9,"88,924",6.3,22.7
01085,37.0,"10,730",14.3,14.4
01087,33.8,"19,822",9.7,19.6
01089,13.9,"347,073",6.4,38.5
01091,31.5,"20,228",8.9,17.4
01093,20.8,"30,305",8.0,9.5
01095,18.1,"94,569",6.8,15.2
01097,20.3,"414,560",8.4,20.7
01099,29.7,"22,188",12.1,10.6
01101,22.1,"227,271",7.3,31.5
01103,17.4,"119,628",6.9,19.9
01105,36.4,"9,978",13.7,10.4
01107,23.8,"19,383",9.3,11.0
01109,25.3,"33,682",7.7,23.0
01111,23.4,"22,663",7.8,11.1
01113,23.9,"59,430",7.3,16.0
01115,14.0,"86,244",6.2,15.5
01117,8.3,"204,196",4.7,40.3
01119,38.0,"13,345",9.2,14.9
01121,19.8,"81,339",8.4,13.0
01123,22.2,"41,221",8.1,16.3
01125,17.2,"200,744",6.4,27.0
01127,22.0,"65,859",8.2,10.5
01129,19.7,"16,842",11.0,9.5
01131,32.4,"11,262",19.6,11.1
01133,21.9,"24,187",9.5,10.4
02000,10.1,"737,259",6.9,27.5
02013,15.2,"3,351",6.4,12.0
02016,8.1,"5,692",7.0,13.3
02020,7.7,"301,629",5.2,32.8
02050,25.1,"17,806",16.1,11.7
02060,9.5,955,8.6,19.4
02068,5.4,"1,933",12.3,28.1
02070,20.9,"4,988",10.1,17.8
02090,8.8,"100,807",5.8,29.0
02100,11.4,"2,569",9.9,30.1
02105,19.2,"2,134",14.6,26.9
02110,7.5,"32,626",5.0,36.7
02122,10.1,"57,067",7.9,23.7
02130,10.3,"13,695",7.5,25.4
02150,8.5,"14,115",6.2,20.0
02164,17.3,"1,662",14.4,15.4
02170,9.4,"95,892",8.2,21.3
02180,26.3,"9,884",12.2,17.1
02185,13.3,"9,733",7.1,14.5
02188,23.3,"7,697",16.3,11.0
02195,10.7,"3,213",9.2,25.7
02198,17.4,"6,402",11.9,15.7
02220,9.8,"9,014",5.4,34.1
02230,4.2,"1,012",12.1,24.3
02240,16.1,"6,969",12.9,23.1
02261,9.2,"9,770",9.8,23.9
02270,34.7,"7,952",23.6,5.4
02275,13.9,"2,404",8.0,16.7
02282,16.7,634,9.4,22.7
02290,24.4,"5,654",18.2,9.3
04000,18.6,"6,634,997",7.8,26.9
04001,38.7,"71,867",18.5,10.4
04003,18.8,"129,744",9.0,22.5
04005,23.2,"136,690",8.1,31.1
04007,22.6,"53,063",9.5,16.1
04009,21.6,"37,435",8.0,12.3
04011,11.6,"8,944",5.6,11.1
04012,23.2,"20,331",8.4,9.3
04013,17.6,"4,013,164",6.6,29.8
04015,21.3,"202,855",10.3,11.9
04017,31.8,"107,346",13.6,14.9
04019,19.3,"998,050",6.8,29.8
04021,16.7,"390,965",8.3,18.0
04023,22.7,"47,121",15.5,19.8
04025,16.4,"215,389",7.7,24.2
04027,19.2,"202,033",25.7,14.3
05000,19.4,"2,958,765",7.4,20.1
05001,19.8,"18,820",7.3,12.4
05003,21.9,"21,252",11.1,12.2
05005,15.6,"40,996",8.0,16.5
05007,11.7,"237,301",5.7,28.7
05009,17.2,"37,389",7.1,15.4
05011,27.0,"11,192",9.9,10.8
05013,18.9,"5,219",8.2,7.4
05015,22.2,"27,760",6.1,17.3
05017,32.4,"11,338",11.8,12.6
05019,22.7,"22,697",9.1,21.4
05021,20.0,"15,294",9.9,9.5
05023,16.3,"25,656",8.5,16.8
05025,17.0,"8,562",7.7,13.8
05027,23.2,"24,266",8.9,20.3
05029,21.1,"21,176",9.0,14.7
05031,20.0,"101,647",6.7,24.4
05033,19.2,"61,658",7.8,14.3
05035,23.6,"49,758",8.6,13.9
05037,20.6,"17,504",7.8,11.4
05039,21.4,"7,921",11.0,10.2
05041,34.0,"12,492",9.9,12.7
05043,24.8,"18,728",10.0,19.1
05045,14.9,"119,390",6.6,27.2
05047,20.7,"17,945",7.0,12.4
05049,22.9,"12,227",7.0,10.0
05051,22.1,"97,065",7.7,20.9
05053,14.2,"18,046",6.7,17.6
05055,17.7,"43,072",8.2,14.7
05057,22.9,"22,398",7.4,14.1
05059,18.5,"33,440",7.4,12.3
05061,21.5,"13,544",6.5,12.0
05063,18.4,"36,843",9.1,14.4
05065,20.8,"13,364",8.7,11.7
05067,27.5,"17,664",10.9,8.8
05069,25.8,"73,084",10.4,17.5
05071,23.4,"25,887",7.7,14.7
05073,26.0,"7,245",9.9,10.7
05075,20.4,"17,061",9.0,10.4
05077,41.1,"10,041",9.7,7.1
05079,27.6,"14,043",8.5,7.9
05081,19.3,"12,741",7.7,10.6
05083,18.7,"22,076",7.9,11.7
05085,12.6,"70,834",6.2,18.2
